"Rank","Last Year's Rank","Company","Leadership","Country","2014 Defense Revenue* (in millions)","2013 Defense Revenue* (in millions)","% Defense Revenue Change","2014 Total Revenue* (in millions)","Revenue From Defense"
"1","1","Lockheed Martin","Marillyn Hewson, Chairman, President & CEO","US","40,128.00","40,494.00","-0.90%","45,600.00","88.00%"
"2","2","Boeing","Dennis Muilenburg, President & CEO","US","29,000.00","32,000.00","-9.40%","90,762.00","32.00%"
"3","3","BAE Systems","Ian King, CEO","UK","25,449.00","28,014.00","-9.20%","27,411.30","92.80%"
"4","4","Raytheon","Thomas Kennedy, Chairman & CEO","US","22,228.20","22,047.60","0.80%","22,826.00","97.40%"
"5","6","General Dynamics","Phebe Novakovic, Chairman & CEO","US","18,561.00","18,836.00","-1.50%","30,852.00","60.20%"
"6","5","Northrop Grumman","Wes Bush, Chairman, President & CEO","US","18,400.00","19,500.00","-5.60%","23,979.00","76.70%"
"7","7","Airbus Group1","Tom Enders, CEO","Netherlands","14,609.50","16,546.50","-11.70%","80,686.40","18.10%"
"8","8","United Technologies","Gregory Hayes, President & CEO","US","13,020.00","11,894.00","9.50%","65,100.00","20.00%"
"9","10","Finmeccanica","Mauro Moretti, CEO & General Manager","Italy","10,561.40","10,896.30","-3.10%","19,486.80","54.20%"
"10","11","L-3 Communications","Michael Strianese, Chairman, President & CEO","US","9,808.00","10,336.00","-5.10%","12,124.00","80.90%"
"11","12","Almaz-Antey","Yan Novikov, CEO","Russia","9,209.80","8,326.30","10.60%","9,209.80","100.00%"
"12","9","Thales2","Patrice Caine, Chairman & CEO","France","8,461.60","10,961.60","-22.80%","17,242.20","49.10%"
"13","13","Huntington Ingalls Industries","Mike Petters, President & CEO","US","6,818.00","6,324.00","7.80%","6,957.00","98.00%"
"14","-","United Aircraft Corp3","Yury Slyusar, President & Chairman of Management Board","Russia","6,244.00","5,831.70","7.10%","7,805.30","80.00%"
"15","14","Rolls-Royce","Warren East, CEO","UK","5,433.70","6,123.60","-11.30%","24,035.30","22.60%"
"16","15","Honeywell","Tim Mahoney, President & CEO","US","4,754.00","4,900.00","-3.00%","40,300.00","11.80%"
"17","17","Textron","Scott Donnelly, Chairman, President & CEO","US","4,719.00","4,236.00","11.40%","13,878.00","34.00%"
"18","-","AECOM4","Michael Burke, Chairman & CEO","US","4,433.00","1,712.60","158.80%","19,641.20","22.60%"
"19","18","Booz Allen Hamilton","Horacio Rozanski, President & CEO","US","4,100.00","4,300.00","-4.70%","5,479.00","74.80%"
"20","23","Safran","Phillippe Petitcolin, CEO","France","4,081.30","4,027.00","1.30%","20,406.50","20.00%"
"21","16","DCNS","Herve Guillou, CEO","France","4,074.70","4,601.70","-11.50%","4,074.70","100.00%"
"22","18","GE","David Joyce, President & CEO","US","4,000.00","4,000.00","0.00%","24,000.00","16.70%"
"23","25","Russian Helicopters","Alexander Mikheev, CEO","Russia","3,960.00","3,406.40","16.30%","4,500.80","88.00%"
"24","21","Leidos5","Roger Krone, Chairman & CEO","US","3,627.00","4,080.00","-11.10%","5,063.00","71.60%"
"25","24","Babcock International3","Peter Rogers, CEO","UK","3,558.80","3,423.80","3.90%","7,414.20","48.00%"
"26","34","United Engine-Building","Vladislav Masalov, General Director","Russia","3,323.60","2,647.00","25.60%","5,405.20","61.50%"
"27","36","Bechtel","Craig Albert, Chairman","US","3,000.00","2,600.00","15.40%","37,200.00","8.10%"
"28","28","Rheinmetall","Armin Papperger, CEO","Germany","2,976.90","2,952.80","0.80%","6,230.30","47.80%"
"29","30","Elbit Systems6","Bezhalel Machlis, President & CEO","Israel","2,958.20","2,925.20","1.10%","2,958.20","100.00%"
"30","29","Saab","Håkan Bushke, President & CEO","Sweden","2,829.30","2,948.30","-4.00%","3,438.50","82.30%"
"31","-","Tactical Missiles","Boris Obnosov, Director General","Russia","2,812.60","1,892.70","48.60%","2,960.60","95.00%"
"32","35","Israel Aerospace Industries6","Joseph Weiss, President & CEO","Israel","2,785.00","2,646.00","5.30%","3,827.00","72.80%"
"33","-","Orbital ATK7 8","David Thompson, President & CEO","US","2,750.00","2,525.00","8.90%","4,400.00","62.50%"
"34","31","SAIC5","Tony Moraco, CEO","US","2,735.00","2,887.00","-5.30%","3,835.00","71.30%"
"35","20","Exelis9","David Melcher, President & CEO","US","2,644.00","2,655.00","-0.40%","3,277.00","80.70%"
"36","26","Mitsubishi Heavy Industries7","Shunichi Miyanaga, President & CEO","Japan","2,626.70","3,354.90","-21.70%","46,897.00","5.60%"
"37","32","CACI International10","Ken Asbury, President & CEO","US","2,578.00","2,735.00","-5.70%","3,565.00","72.30%"
"38","39","Hindustan Aeronautics7","T. Suvarna Raju, Chairman & Managing Director","India","2,480.40","2,459.00","0.90%","2,531.00","98.00%"
"39","40","Harris11 12","William Brown, Chairman, President & CEO","US","2,384.70","2,418.00","-1.40%","5,012.00","47.60%"
"40","22","Hewlett-Packard","Meg Whitman, Chariman, President & CEO","US","2,240.80","4,070.40","-44.90%","111,500.00","2.00%"
"41","42","Rockwell Collins13","Kelly Ortberg, President & CEO","US","2,209.00","2,395.00","-7.80%","4,979.00","44.40%"
"42","41","CSC","Mike Lawrie, President & CEO","US","2,177.00","2,401.00","-9.30%","12,200.00","17.80%"
"43","47","Serco","Rupert Soames, Group CEO","UK","2,174.80","2,124.60","2.40%","7,826.10","27.80%"
"44","49","ST Engineering","Tan Pheng Hock, President & CEO","Singapore","2,012.80","1,988.20","1.20%","5,161.00","39.00%"
"45","48","Rafael Advanced Defense Systems","Yedidia Yaari, President & CEO","Israel","1,965.40","2,115.00","-7.10%","1,965.40","100.00%"
"46","66","Kawasaki Heavy Industries7","Shigeru Murayama, President","Japan","1,909.20","1,004.90","90.00%","17,094.70","11.20%"
"47","51","Cobham","Bob Murphy, CEO","UK","1,860.00","1,907.00","-2.50%","3,051.40","61.00%"
"48","27","Oshkosh13","Charles Szews, CEO","US","1,725.00","3,050.00","-43.40%","6,808.00","25.30%"
"49","45","General Atomics14","Linden Blue, CEO","US","1,655.00","2,149.60","-23.00%","-","-"
"50","54","Aerojet Rocketdyne15","Eileen Drake, President","US","1,591.20","1,377.40","15.50%","1,597.40","99.60%"
"51","38","DynCorp","James Geisler, CEO","US","1,579.00","3,100.00","-49.10%","2,252.00","70.10%"
"52","-","Uralvagonzavod6","Oleg Sienko, CEO","Russia","1,545.00","1,529.00","1.00%","2,992.00","51.60%"
"53","-","Hanwha16","Lee Tae-jong, Executive Vice President","South Korea","1,545.00","1,529.70","1.00%","5,154.30","30.00%"
"54","-","Engility","Anthony Smeraglinolo, President & CEO","US","1,530.00","846.00","80.90%","2,500.00","61.20%"
"55","60","Embraer","Frederico Fleury Curado, President & CEO","Brazil","1,459.50","1,101.80","32.50%","6,357.60","23.00%"
"56","53","Fincantieri","Giuseppe Bono, CEO","Italy","1,406.80","1,543.20","-8.80%","5,845.80","24.10%"
"57","63","Nexter","Philippe Burtin, CEO","France","1,392.80","1,078.30","29.20%","1,392.80","100.00%"
"58","50","Dassault Aviation","Eric Trappier, CEO","France","1,332.30","1,923.80","-30.70%","4,890.60","27.20%"
"59","62","LIG Nex1","Lee Hyo-koo, CEO","South Korea","1,330.10","1,087.40","22.30%","1,330.10","100.00%"
"60","44","Fluor","David Seaton, Chairman & CEO","US","1,319.30","1,752.70","-24.70%","21,531.00","6.10%"
"61","55","Korea Aerospace Industries","Ha Sung-yong, President and CEO","South Korea","1,160.00","1,364.20","-15.00%","2,199.10","52.70%"
"62","67","Aselsan","Faik Eken, CEO","Turkey","1,109.00","1,001.40","10.70%","1,142.50","97.10%"
"63","72","Accenture17","Pierre Nanterme, CEO","US","1,059.50","888.00","19.30%","30,000.00","3.50%"
"64","43","ManTech","George Pedersen, Chairman & CEO","US","1,046.70","2,208.00","-52.60%","1,774.00","59.00%"
"65","58","QinetiQ3","Steve Wadey, CEO","UK","1,017.90","1,286.00","-20.80%","1,288.40","79.00%"
"66","75","NEC7","Nobuhiro Endo, President","Japan","1,011.00","846.90","19.40%","29,296.30","3.50%"
"67","68","GKN Aerospace","Kevin Cummings, CEO","UK","990.20","993.40","-0.30%","3,667.60","27.00%"
"68","86","Ultra Electronics3 18","Rakesh Sharma, CEO","UK","951.50","932.30","2.10%","1,174.70","81.00%"
"69","78","RTI","Sergey Boev, CEO","Russia","947.20","819.00","15.70%","1,877.30","50.50%"
"70","61","Krauss-Maffei Wegmann","Frank Haun, CEO","Germany","934.60","1,096.20","-14.70%","934.60","100.00%"
"71","57","Kongsberg","Walter Qvam, President & CEO","Norway","929.80","1,272.20","-26.90%","2,644.00","35.20%"
"72","-","Ana Holdings7","Shinya Katanozaka, President & CEO","Japan","926.10","-","-","17,100.30","5.40%"
"73","70","Samsung Techwin19","Kim Cheol-kyo, CEO","South Korea","904.80","945.00","-4.30%","2,484.80","36.40%"
"74","85","PAE","John Heller, CEO","US","895.20","704.10","27.10%","1,816.50","49.30%"
"75","65","Meggitt","Stephen Young, CEO","UK","888.70","1,015.40","-12.50%","2,559.90","34.70%"
"76","74","Bharat Electronics7","S.K. Sharma, Chairman & Managing Director","India","875.70","853.40","2.60%","1,094.60","80.00%"
"77","59","Mitsubishi Electric7","Kenichiro Yamanishi, CEO","Japan","860.30","1,102.40","-22.00%","43,143.50","2.00%"
"78","80","Turkish Aerospace Industries6","Muharrem Dörtkasli, President & CEO","Turkey","853.60","788.40","8.30%","1,001.00","85.30%"
"79","73","Moog","John Scannell, CEO","US","837.80","861.00","-2.70%","2,648.40","31.60%"
"80","77","AAR Corp20","David Storch, Chairman & CEO","US","827.40","839.20","-1.40%","2,035.00","40.70%"
"81","76","Cubic13","Bradley Feldmann, President & CEO","US","798.70","831.70","-4.00%","1,398.40","57.10%"
"82","81","CAE","Marc Parent, President & CEO","Canada","755.60","772.40","-2.20%","1,979.30","38.20%"
"83","79","Alion Science and Technology","Bahman Atefi, Chairman & CEO","US","753.70","790.90","-4.70%","804.80","93.70%"
"84","82","Curtiss-Wright","David Adams, Chairman & CEO","US","749.60","730.10","2.70%","2,243.10","33.40%"
"85","69","Chemring21","Michael Flowers, Group Chief Executive","UK","723.70","973.20","-25.60%","786.60","92.00%"
"86","83","Ruag","Urs Breitmeier, CEO","Switzerland","718.40","750.80","-4.30%","1,670.80","43.00%"
"87","88","Ball Aerospace & Technologies","Robert Strain, President","US","681.00","677.00","0.60%","934.80","72.80%"
"88","87","Indra","Frenando Abril-Martorell, Chairman","Spain","676.00","678.00","-0.30%","3,904.40","17.30%"
"89","89","Wyle","Roger Wiederkehr, President & CEO","US","650.70","676.90","-3.90%","865.50","75.20%"
"90","84","Diehl Defence Holding","Claus Günther, CEO","Germany","648.50","730.30","-11.20%","4,038.90","16.10%"
"91","98","IHI7","Tamotsu Saito, CEO","Japan","617.80","512.00","20.70%","14,528.90","4.30%"
"92","-","Ukroboronprom","Roman Romanov, General Director","Ukraine","575.90","681.10","-15.40%","575.90","100.00%"
"93","91","Battelle13","Jeffrey Wadsworth, President & CEO","US","569.20","613.90","-7.30%","5,600.00","10.20%"
