Rank,Last Year's Rank,Company,Leadership,Country,2016 Defense Revenue* (in millions),2015 Defense Revenue* (in millions),% Defense Revenue Change,2016 Total Revenue* (in millions),Revenue From Defense
1,1,Lockheed Martin 1,"Marillyn Hewson, Chairman, President and CEO",US,"$43,468.00 ","$40,596.00 ",7%,"$47,248.00 ",92%
2,2,Boeing,"Dennis Muilenburg, President and CEO",US,"$29,500.00 ","$30,388.00 ",-3%,"$94,571.00 ",31%
3,3,BAE Systems 2,"Charles Woodburn, CEO",UK,"$23,621.84 ","$25,278.08 ",-7%,"$25,867.20 ",91%
4,4,Raytheon Company 1,"Thomas Kennedy, Chairman and CEO",US,"$22,384.17 ","$21,619.71 ",4%,"$24,069.00 ",93%
5,6,Northrop Grumman 3,"Wes Bush, Chairman, President and CEO",US,"$20,200.00 ","$17,600.00 ",15%,"$24,508.00 ",82%
6,5,General Dynamics,"Phebe Novakovic, Chairman and CEO",US,"$19,696.00 ","$19,148.00 ",3%,"$31,353.00 ",63%
7,7,Airbus,"Fabrice Brégier, President and CEO",Netherlands,"$12,321.00 ","$12,776.10 ",-4%,"$73,903.80 ",17%
8,9,L3 Technologies,"Michael Strianese, Chairman, President and CEO",US,"$8,879.00 ","$8,772.00 ",1%,"$10,511.00 ",84%
9,8,Leonardo 4,"Alessandro Profumo, CEO",Italy,"$8,526.22 ","$9,318.45 ",-9%,"$13,322.22 ",64%
10,10,Thales,"Patrice Caine, Chairman and CEO",France,"$8,362.00 ","$7,863.24 ",6%,"$16,837.00 ",50%
11,11,Almaz-Antey,"Yan Novikov, CEO",Russia,"$7,412.90 ","$6,965.77 ",6%,"$7,412.90 ",100%
12,13,United Technologies,"Gregory Hayes, President, CEO and Director",US,"$6,888.00 ","$6,780.00 ",2%,"$57,400.00 ",12%
13,12,Huntington Ingalls Industries 1,"Mike Petters, President and CEO",US,"$6,778.21 ","$6,879.60 ",-1%,"$7,068.00 ",96%
14,16,United Aircraft Corp. 1,"Yury Slyusar, President and Chairman",Russia,"$5,636.84 ","$4,643.76 ",21%,"$7,046.05 ",80%
15,14,Rolls-Royce,"Warren East, CEO",UK,"$4,741.15 ","$4,790.28 ",-1%,"$18,675.97 ",25%
16,18,Textron Inc.,"Scott Donnelly, Chairman, President and CEO",US,"$4,412.16 ","$4,161.13 ",6%,"$13,788.00 ",32%
17,15,Honeywell 5,"Dave Cote, Executive Chairman",US,"$4,375.00 ","$4,715.00 ",-7%,"$39,302.00 ",11%
18,23,Leidos,"Roger Krone, Chairman and CEO",US,"$4,252.00 ","$3,248.00 ",31%,"$7,043.00 ",60%
19,38,Hanwha 6,"Seung Youn Kim, Chairman",South Korea,"$4,214.97 ","$3,104.00 ",36%,"$40,523.38 ",10%
20,17,Harris Corporation 7,"Bill Brown, Chairman, President and CEO",US,"$4,213.00 ","$4,400.00 ",-4%,"$5,950.00 ",71%
21,36,Mitsubishi Heavy Industries Ltd. 8,"Shunichi Miyanaga, President and CEO",Japan,"$4,033.48 ","$2,395.12 ",68%,"$34,834.60 ",12%
22,33,Booz Allen Hamilton 9,"Horacio Rozanski, President and CEO",US,"$4,000.00 ","$3,900.00 ",3%,"$5,804.28 ",69%
23,22,DCNS Group,"Hervé Guillou, Chairman and CEO",France,"$3,540.90 ","$3,288.55 ",8%,"$3,540.90 ",100%
24,19,GE Aviation,"David Joyce, President and CEO",US,"$3,500.00 ","$3,700.00 ",-5%,"$26,000.00 ",13%
25,62,GKN Aerospace 110,"Kevin Cummings, CEO",UK,"$3,316.55 ","$2,604.65 ",27%,"$12,755.97 ",26%
26,27,Rheinmetall,"Armin Papperger, CEO",Germany,"$3,270.06 ","$2,876.01 ",14%,"$5,753.13 ",57%
