This year's rank,Last Year's Rank,Company,Leadership,Country,2019 Defense Revenue (in millions),2018 Defense Revenue (in millions),% Defense Revenue Change,2019 Total Revenue (in millions),Revenue From Defense
1,1,Lockheed Martin 1,"James D. Taiclet, President and CEO *",US,"$56,606.00 ","$50,536.00 ",12%,"$59,812.00 ",95%
2,2,Boeing,"David Calhoun, President and CEO *",US,"$34,300.00 ","$34,050.00 ",1%,"$76,559.00 ",45%
3,6,General Dynamics 2,"Phebe Novakovic, Chairman and CEO",US,"$29,512.00 ","$27,507.00 ",7%,"$39,350.00 ",75%
4,3,Northrop Grumman,"Kathy J. Warden, Chairman, CEO and President",US,"$28,600.00 ","$25,300.00 ",13%,"$33,841.00 ",85%
5,4,Raytheon Company 1 3,"Thomas Kennedy, Chairman and CEO",US,"$27,448.00 ","$25,163.94 ",9%,"$29,200.00 ",94%
6,5,Aviation Industry Corporation of China,"Tan Ruisong, Chairman of the Board, and Luo Ronghuai, President",China,"$25,075.38 ","$24,902.01 ",1%,"$66,858.02 ",38%
7,7,BAE Systems 1,"Charles Woodburn, Group CEO",UK,"$21,033.27 ","$22,477.48 ",-6%,"$23,370.30 ",90%
8,8,China North Industries Group Corporation Limited,"Jiao Kaihe, Chairman, and Liu Dashan, President",China,"$14,771.60 ","$14,777.77 ",0%,"$68,074.15 ",22%
9,NEW,L3Harris Technologies 4,"Bill Brown, Chairman and CEO",US,"$13,916.98 ","$12,303.08 ",13%,"$18,074.00 ",77%
10,17,United Technologies Corp. 1 3,"Gregory J. Hayes, Chairman and CEO",US,"$13,090.00 ","$9,310.00 ",41%,"$77,000.00 ",17%
11,10,China Aerospace Science and Industry Corporation,"Yuan Jie, Chairman and Secretary of the Party Committee, and Liu Shiquan, General Manager and President *",China,"$12,035.25 ","$12,130.93 ",-1%,"$37,610.17 ",32%
12,9,Airbus 5,"Guillaume Faury, CEO",Netherlands/France,"$11,266.57 ","$13,063.82 ",-14%,"$78,916.36 ",14%
13,13,Leonardo,"Alessandro Profumo, CEO",Italy,"$11,109.27 ","$9,828.51 ",13%,"$15,429.55 ",72%
14,14,China Shipbuilding Industry Corporation 6,"Lei Fanpei, Chairman, and Yang Jincheng, Director and General Manager *",China,"$11,019.56 ","$9,795.47 ",12%,"$55,097.78 ",20%
15,12,China Electronics Technology Group,"Chen Zhaoxiong, Chairman of the Board, and Wu Manqing, President *",China,"$10,148.87 ","$10,275.58 ",-1%,"$32,951.25 ",31%
16,16,Thales,"Patrice Caine, Chairman and CEO",France,"$9,251.68 ","$9,575.57 ",-3%,"$20,596.61 ",45%
17,15,Almaz-Antey,"Yan Novikov, CEO",Russia,"$9,191.60 ","$9,660.14 ",-5%,"$9,651.71 ",95%
18,11,China South Industries Group Corporation,"Xu Xianping, Chairman of the Group and Secretary of the Party Committee, and Gong Yangde, Group Company Director and General Manager *",China,"$8,845.87 ","$11,963.37 ",-26%,"$28,550.02 ",31%
19,20,Huntington Ingalls Industries,"Mike Petters, President and CEO",US,"$8,119.00 ","$7,767.00 ",5%,"$8,899.00 ",91%
20,19,China Aerospace Science and Technology Corporation,"Wu Yansheng, Chairman of the Board, Xu Qiang, President, and Fang Xiangming, Executive Director *",China,"$7,745.57 ","$8,138.47 ",-5%,"$36,223.21 ",21%
21,NEW,Mitsubishi Heavy Industries 7,"Seiji Izumisawa, President and CEO",Japan,"$6,570.00 ",N/A,N/A,"$37,670.00 ",17%
